_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
28480,NY,200,Toronto,2020-08
28481,TO,12,Outside City Limits,2020-08
28482,TO,86,Toronto,2020-08
28483,ET,39,Outside City Limits,2020-09
28484,ET,194,Toronto,2020-09
28485,NY,1,Outside City Limits,2020-09
28486,NY,2,Toronto,2020-09
28487,SC,40,Outside City Limits,2020-09
28488,SC,140,Toronto,2020-09
28489,TO,155,Outside City Limits,2020-09
28490,TO,534,Toronto,2020-09
28491,ET,164,Outside City Limits,2020-10
28492,ET,375,Toronto,2020-10
28493,NY,1,Outside City Limits,2020-10
28494,NY,2,Toronto,2020-10
28495,SC,79,Outside City Limits,2020-10
28496,SC,162,Toronto,2020-10
28497,TO,220,Outside City Limits,2020-10
28498,TO,683,Toronto,2020-10
28499,ET,322,Outside City Limits,2020-11
28500,ET,1239,Toronto,2020-11
28501,NY,5,Outside City Limits,2020-11
28502,NY,24,Toronto,2020-11
28503,SC,12,Outside City Limits,2020-11
28504,SC,39,Toronto,2020-11
28505,TO,39,Outside City Limits,2020-11
28506,TO,147,Toronto,2020-11
28507,ET,171,Outside City Limits,2020-12
28508,ET,832,Toronto,2020-12
28509,SC,3,Toronto,2020-12
28510,TO,1,Outside City Limits,2020-12
28511,TO,16,Toronto,2020-12
28512,ET,405,Outside City Limits,2021-01
28513,ET,1712,Toronto,2021-01
28514,NY,1,Outside City Limits,2021-01
28515,NY,5,Toronto,2021-01
28516,TO,4,Toronto,2021-01
28517,ET,478,Outside City Limits,2021-02
28518,ET,1339,Toronto,2021-02
28519,TO,1,Outside City Limits,2021-02
28520,TO,1,Toronto,2021-02
28521,ET,377,Outside City Limits,2021-03
28522,ET,1489,Toronto,2021-03
28523,TO,1,Toronto,2021-03
28524,ET,426,Outside City Limits,2021-04
28525,ET,1304,Toronto,2021-04
28526,NY,1,Toronto,2021-04
28527,TO,1,Toronto,2021-04
28528,ET,653,Outside City Limits,2021-05
28529,ET,2007,Toronto,2021-05
28530,TO,1,Toronto,2021-05
28531,ET,146,Outside City Limits,2021-06
28532,ET,429,Toronto,2021-06
28533,ET,197,Outside City Limits,2021-07
28534,ET,879,Toronto,2021-07
28535,ET,290,Outside City Limits,2021-08
28536,ET,740,Toronto,2021-08
28537,TO,2,Toronto,2021-08
28538,ET,302,Outside City Limits,2021-09
28539,ET,1216,Toronto,2021-09
28540,TO,3,Toronto,2021-09
28541,ET,374,Outside City Limits,2021-10
28542,ET,1181,Toronto,2021-10
28543,ET,277,Outside City Limits,2021-11
28544,ET,909,Toronto,2021-11
28545,ET,193,Outside City Limits,2021-12
28546,ET,746,Toronto,2021-12
28547,ET,347,Outside City Limits,2022-01
28548,ET,1326,Toronto,2022-01
28549,ET,473,Outside City Limits,2022-02
28550,ET,1285,Toronto,2022-02
28551,TO,10,Toronto,2022-02
28552,ET,424,Outside City Limits,2022-03
28553,ET,1437,Toronto,2022-03
28554,TO,11,Outside City Limits,2022-03
28555,TO,54,Toronto,2022-03
28556,ET,244,Outside City Limits,2022-04
28557,ET,679,Toronto,2022-04
28558,TO,5,Outside City Limits,2022-04
28559,TO,9,Toronto,2022-04
28560,ET,319,Outside City Limits,2022-05
28561,ET,980,Toronto,2022-05
28562,NY,7,Outside City Limits,2022-05
28563,NY,14,Toronto,2022-05
28564,TO,2,Outside City Limits,2022-05
28565,TO,4,Toronto,2022-05
28566,ET,352,Outside City Limits,2022-06
28567,ET,1199,Toronto,2022-06
28568,NY,12,Outside City Limits,2022-06
28569,NY,35,Toronto,2022-06
28570,TO,2,Outside City Limits,2022-06
28571,TO,9,Toronto,2022-06
28572,ET,87,Outside City Limits,2022-07
28573,ET,272,Toronto,2022-07
28574,NY,5,Outside City Limits,2022-07
28575,NY,24,Toronto,2022-07
28576,TO,1,Outside City Limits,2022-07
28577,TO,2,Toronto,2022-07
28578,ET,118,Outside City Limits,2022-08
28579,ET,317,Toronto,2022-08
28580,NY,65,Outside City Limits,2022-08
28581,NY,143,Toronto,2022-08
28582,TO,9,Outside City Limits,2022-08
28583,TO,18,Toronto,2022-08
28584,ET,203,Outside City Limits,2022-09
28585,ET,583,Toronto,2022-09
28586,NY,197,Outside City Limits,2022-09
28587,NY,730,Toronto,2022-09
28588,TO,9,Outside City Limits,2022-09
28589,TO,55,Toronto,2022-09
28590,ET,73,Outside City Limits,2022-10
28591,ET,282,Toronto,2022-10
28592,NY,133,Outside City Limits,2022-10
28593,NY,397,Toronto,2022-10
28594,TO,9,Outside City Limits,2022-10
28595,TO,19,Toronto,2022-10
28596,ET,71,Outside City Limits,2022-11
28597,ET,360,Toronto,2022-11
28598,NY,324,Outside City Limits,2022-11
28599,NY,1274,Toronto,2022-11
28600,TO,16,Outside City Limits,2022-11
28601,TO,65,Toronto,2022-11
28602,ET,10,Outside City Limits,2022-12
28603,ET,14,Toronto,2022-12
28604,NY,416,Outside City Limits,2022-12
28605,NY,996,Toronto,2022-12
28606,TO,12,Outside City Limits,2022-12
28607,TO,25,Toronto,2022-12
28608,ET,5,Outside City Limits,2023-01
28609,ET,20,Toronto,2023-01
28610,NY,370,Outside City Limits,2023-01
28611,NY,1015,Toronto,2023-01
28612,TO,14,Outside City Limits,2023-01
28613,TO,48,Toronto,2023-01
28614,ET,7,Outside City Limits,2023-02
28615,ET,12,Toronto,2023-02
28616,NY,162,Outside City Limits,2023-02
28617,NY,446,Toronto,2023-02
28618,TO,11,Outside City Limits,2023-02
28619,TO,27,Toronto,2023-02
28620,ET,10,Outside City Limits,2023-03
28621,ET,34,Toronto,2023-03
28622,NY,314,Outside City Limits,2023-03
28623,NY,923,Toronto,2023-03
28624,TO,13,Outside City Limits,2023-03
28625,TO,55,Toronto,2023-03
28626,ET,4,Outside City Limits,2023-04
28627,ET,17,Toronto,2023-04
28628,NY,407,Outside City Limits,2023-04
28629,NY,1588,Toronto,2023-04
28630,TO,18,Outside City Limits,2023-04
28631,TO,72,Toronto,2023-04
28632,ET,6,Outside City Limits,2023-05
28633,ET,8,Toronto,2023-05
28634,NY,519,Outside City Limits,2023-05
28635,NY,1926,Toronto,2023-05
28636,TO,18,Outside City Limits,2023-05
28637,TO,74,Toronto,2023-05
28638,ET,5,Outside City Limits,2023-06
28639,ET,24,Toronto,2023-06
28640,NY,775,Outside City Limits,2023-06
28641,NY,1842,Toronto,2023-06
28642,TO,30,Outside City Limits,2023-06
28643,TO,62,Toronto,2023-06
28644,NY,124,Outside City Limits,2023-07
28645,NY,394,Toronto,2023-07
28646,TO,10,Outside City Limits,2023-07
28647,TO,23,Toronto,2023-07
28648,ET,1,Outside City Limits,2023-08
28649,ET,6,Toronto,2023-08
28650,NY,301,Outside City Limits,2023-08
28651,NY,866,Toronto,2023-08
28652,TO,12,Outside City Limits,2023-08
28653,TO,40,Toronto,2023-08
28654,ET,1,Outside City Limits,2023-09
28655,ET,2,Toronto,2023-09
28656,NY,439,Outside City Limits,2023-09
28657,NY,1180,Toronto,2023-09
28658,TO,31,Outside City Limits,2023-09
28659,TO,86,Toronto,2023-09
28660,ET,1,Outside City Limits,2023-10
28661,ET,4,Toronto,2023-10
28662,NY,344,Outside City Limits,2023-10
28663,NY,1058,Toronto,2023-10
28664,TO,51,Outside City Limits,2023-10
28665,TO,120,Toronto,2023-10
28666,ET,2,Toronto,2023-11
28667,NY,309,Outside City Limits,2023-11
28668,NY,1301,Toronto,2023-11
28669,TO,47,Outside City Limits,2023-11
28670,TO,155,Toronto,2023-11
28671,ET,1,Toronto,2023-12
28672,NY,143,Outside City Limits,2023-12
28673,NY,510,Toronto,2023-12
28674,TO,16,Outside City Limits,2023-12
28675,TO,100,Toronto,2023-12
28676,NY,338,Outside City Limits,2024-01
28677,NY,984,Toronto,2024-01
28678,TO,96,Outside City Limits,2024-01
28679,TO,288,Toronto,2024-01
28680,NY,192,Outside City Limits,2024-02
28681,NY,637,Toronto,2024-02
28682,TO,41,Outside City Limits,2024-02
28683,TO,160,Toronto,2024-02
28684,NY,491,Outside City Limits,2024-03
28685,NY,1405,Toronto,2024-03
28686,TO,139,Outside City Limits,2024-03
28687,TO,353,Toronto,2024-03
28688,NY,697,Outside City Limits,2024-04
28689,NY,2055,Toronto,2024-04
28690,TO,108,Outside City Limits,2024-04
28691,TO,356,Toronto,2024-04
28692,ET,1,Outside City Limits,2024-05
28693,ET,2,Toronto,2024-05
28694,NY,296,Outside City Limits,2024-05
28695,NY,878,Toronto,2024-05
28696,TO,68,Outside City Limits,2024-05
28697,TO,130,Toronto,2024-05
28698,ET,1,Outside City Limits,2024-06
28699,ET,14,Toronto,2024-06
28700,NY,162,Outside City Limits,2024-06
28701,NY,287,Toronto,2024-06
28702,TO,30,Outside City Limits,2024-06
28703,TO,48,Toronto,2024-06
28704,ET,2,Toronto,2024-07
28705,NY,417,Outside City Limits,2024-07
28706,NY,1168,Toronto,2024-07
28707,TO,51,Outside City Limits,2024-07
28708,TO,145,Toronto,2024-07
28709,ET,1,Toronto,2024-08
28710,NY,791,Outside City Limits,2024-08
28711,NY,2515,Toronto,2024-08
28712,TO,54,Outside City Limits,2024-08
28713,TO,219,Toronto,2024-08
